Artikelcode;EANCode;Assortiment;Omschrijving;Voorraad
10111177;8719992975167;COMPONENTS;ERE GENUS CC PRO SADDLE 240X145 BLACK/WHITE;2
10111178;8719992975174;COMPONENTS;ERE GENUS CC PRO SADDLE 240x145 PURPLE;0
10111179;8719992975181;COMPONENTS;ERE GENUS CC PRO SADDLE 240x145 YELLOW/ORANGE;0
10111654;8720682570418;COMPONENTS;ERE GENUS CT SADDLE S BLACK/BLACK;20
10111655;8720682570425;COMPONENTS;ERE GENUS CT SADDLE M BLACK/BLACK;6
10111656;8720682570432;COMPONENTS;ERE GENUS CT SADDLE L BLACK/BLACK;22
10111657;8720682570449;COMPONENTS;ERE GENUS TT SADDLE S BLACK/BLACK;7
10111658;8720682570456;COMPONENTS;ERE GENUS TT SADDLE M BLACK/BLACK;61
10111659;8720682570463;COMPONENTS;ERE GENUS TT SADDLE L BLACK/BLACK;6
10111660;8720682570470;COMPONENTS;ERE GENUS T SADDLE S BLACK/BLACK;17
10111661;8720682570487;COMPONENTS;ERE GENUS T SADDLE M BLACK/BLACK;52
10111662;8720682570494;COMPONENTS;ERE GENUS T SADDLE L BLACK/BLACK;40
10111663;8720682570500;COMPONENTS;ERE GENUS SADDLE M BLACK/BLACK;56
10111680;8720682570982;COMPONENTS;ERE GENUS TT SADDLE L BLACK/WHITE;15
10111681;8720682570999;COMPONENTS;ERE GENUS TT SADDLE M BLACK/WHITE;10
10111682;8720682571002;COMPONENTS;ERE GENUS TT SADDLE S BLACK/WHITE;15
10111686;8720682571040;COMPONENTS;ERE GENUS T SADDLE L BLACK/WHITE;30
10111687;8720682571057;COMPONENTS;ERE GENUS T SADDLE M BLACK/WHITE;5
10111688;8720682571064;COMPONENTS;ERE GENUS T SADDLE S BLACK/WHITE;14
10121022;8719325647334;WHEELS;ERE GENUS CL45 CARBON DISC WHEELSET SHI BLK/WHI;0
10121023;8719325647341;WHEELS;ERE GENUS AE65 CARBON DISC WHEELSET SHI BLK/BLK;0
10121025;8719325647365;WHEELS;ERE GENUS AE 00 CARBON DISC WHEELSET SHI BLK/WHI;2
10121428;8719325647082;WHEELS;ERE GENUS II AE65 CARBON DISC WHEELSET SHIMANO;12
10121429;8719325647099;WHEELS;ERE GENUS II AE65-R CARBON DISC WHEELSET SHIMANO;4
10121430;8719325647105;WHEELS;ERE GENUS II CL45 CARBON DISC WHEELSET SHIMANO;8
10121431;8719325647112;WHEELS;ERE GENUS II CL45-R CARBON DISC WHEELSET SHIMANO;0
10121432;8719325647129;WHEELS;ERE GENUS II SL30 CARBON DISC WHEELSET SHIMANO;2
